Start Node,Start State,Start Country,End Node,End State,End Country,Distance (km),Speed (km/h),Has Ferry,Ferries
Auckland,,New Zealand,Hamilton,,New Zealand,120,90,No,
Auckland,,New Zealand,Tauranga,,New Zealand,200,90,No,
Hamilton,,New Zealand,Tauranga,,New Zealand,100,80,No,
Hamilton,,New Zealand,Napier,,New Zealand,280,80,No,
Hamilton,,New Zealand,New Plymouth,,New Zealand,230,80,No,
Hamilton,,New Zealand,Palmerston North,,New Zealand,380,90,No,
Tauranga,,New Zealand,Gisbourne,,New Zealand,270,80,No,
Tauranga,,New Zealand,Napier,,New Zealand,270,80,No,
Tauranga,,New Zealand,Palmerston North,,New Zealand,380,80,No,
Gisbourne,,New Zealand,Napier,,New Zealand,210,70,No,
Napier,,New Zealand,Palmerston North,,New Zealand,180,70,No,
New Plymouth,,New Zealand,Palmerston North,,New Zealand,230,80,No,
Palmerston North,,New Zealand,Wellington,,New Zealand,140,90,No,
Blenheim,,New Zealand,Nelson,,New Zealand,120,70,No,
Blenheim,,New Zealand,Christchurch,,New Zealand,300,80,No,
Nelson,,New Zealand,Christchurch,,New Zealand,400,80,No,
Christchurch,,New Zealand,Dunedin,,New Zealand,360,90,No,
Christchurch,,New Zealand,Queenstown,,New Zealand,470,80,No,
Dunedin,,New Zealand,Queenstown,,New Zealand,280,80,No,
Dunedin,,New Zealand,Invercargill,,New Zealand,210,90,No,
Queenstown,,New Zealand,Invercargill,,New Zealand,180,80,No,
Wellington,,New Zealand,Blenheim,,New Zealand,30,70,Yes,Cook Strait